year,life_expectancy_years,infant_mortality_per_1000,maternal_mortality_per_100k,fertility_rate_births_per_woman,measles_immunization_pct,health_spending_pct_gdp,adult_literacy_pct,primary_enrolment_pct_gross,secondary_enrolment_pct_gross,education_spending_pct_gdp,gdp_per_capita_usd,gdp_per_capita_ppp_usd,gdp_growth_pct,inflation_pct,remittances_received_usd,poverty_headcount_national_pct,gini_index,population_total,urban_population_pct
1993,53.15,91.6,1072.0,6.034,87.0,,,52.1581993103027,18.0642108917236,,635.3611677282,1486.62332140689,3.01210137437499,6.46380422753847,,,,1188365.0,37.3130852637624
1994,53.768,88.9,1039.0,6.035,89.0,,,54.1618499755859,18.2833099365234,,608.2774907808,1472.5548566366,0.154345959845131,1.71020632305637,,,,1227226.0,38.3363887885843
1995,54.292,86.2,999.0,5.994,91.0,,,55.7884216308594,20.5519695281982,2.55356001853943,621.681391269646,1472.19762507905,0.881848240754678,6.98097441830556,,,,1264313.0,39.5666608739251
1996,54.849,83.5,956.0,5.925,94.0,,,58.9246101379395,20.0912609100342,2.56627988815308,651.784945724837,1488.80055397191,2.22354563838627,1.09948870771018,,,,1301410.0,40.9481646518734
1997,55.225,80.9,928.0,5.851,91.0,,,60.6879005432129,,,600.224023405754,1544.21196765822,4.89999910999681,2.78122790023229,,,,1338889.0,42.4301869523111
1998,56.007,78.3,867.0,5.818,90.0,,,61.957088470459,,,610.234711461724,1571.50459237719,3.49999870205306,1.11418841174713,,,48.3,1376987.0,43.96201460512
1999,56.466,75.8,830.0,5.772,90.0,,,71.7938003540039,,1.56512999534607,575.459893151216,1649.27952578781,6.39999905009302,3.8123720536602,,,,1415779.0,45.4929344401818
2000,56.899,73.3,810.0,5.716,89.0,10.78532791,36.8199996948242,70.9850234985352,,1.46587002277374,538.054072348854,1731.3384764555,5.50000021632955,0.8449695667737,,,,1455084.0,46.9722332873784
2001,57.283,70.9,794.0,5.67,89.0,8.29925728,,71.4117431640625,,1.15810000896454,459.803068381399,1822.9796510577,5.80000024323377,4.49259609239754,,,,1495011.0,48.3491979765917
2002,57.736,68.5,772.0,5.656,90.0,6.2326026,,69.3324279785156,,1.44291996955872,376.531026962584,1743.69432511929,-3.25000014970206,8.60912474386327,,,,1535691.0,49.5731153377033
2003,58.223,66.1,749.0,5.656,90.0,5.29709053,,72.404167175293,,1.36337995529175,308.719123437587,1849.78337005418,6.86999962173842,17.0328665431988,54069839.2743908,,47.3,1577611.0,50.6010077995371
2004,58.749,63.8,719.0,5.683,92.0,5.42000151,,73.5793991088867,,0.622470021247864,593.285346326581,1978.63262689984,7.05000000064635,14.2067432845569,60748749.1709703,,,1621312.0,51.5062022597801
2005,59.11,61.5,707.0,5.708,91.0,5.386024,,72.1908874511719,,0.691879987716675,616.483657865348,1938.02362742194,-2.35172936176019,4.83862177543157,59304087.5437293,,,1667037.0,52.3582132660613
2006,59.667,59.4,682.0,5.736,89.0,5.43720818,,71.4759674072266,,0.751630008220673,614.544307904464,1930.81888537674,-0.555580977246521,2.0565034236599,63773517.3418823,,,1715275.0,53.1603285370566
